page_number,content
40,"George does not like lettuce.
Oh, dear! I must have something
that George likes.
Do you like cucumber?
Yuck!
George does not like cucumbers,
and he does not like lettuce,
and he does not like tomatoes.
Well, George, what vegetable
do you like?
Chocolate cake!
Silly George! Chocolate cake
isn't a vegetable!
Maybe George will like
the vegetables
when they're made into
a lovely salad.
Ooh! Lovely fresh tomatoes,
lettuce and cucumber!
First, we have to wash them!
Peppa and George help Granny Pig
wash the vegetables.
Maybe that's enough washing.
Granny Pig has made
the tomatoes, lettuce
and cucumber into a salad.
Grandpa Pig, can you call
everyone to lunch?
Lunch!!!
Granny Pig has made
pizza for lunch.
And here's some salad
made with Grandpa's tomatoes,
lettuce and cucumber!
Chuck in, everyone!
George has eaten his pizza.
But George does not like the tomatoes
or the lettuce or the cucumber.
Oh, dear, George.
Don't you like the salad?
No.
George, just try a little bit
of this lovely tomato.
Yuck!
George. This is cucumber.
Grandpa Pig grew it in his garden!

George. It's yummy!
Now, now, George.
Look what I'm doing.
Now, it's a dinosaur!
Dinesaw!
George loves dinosaurs!
George is eating the tomatoes,
lettuce and cucumber!
Well done, George!
Would you like
some more, George?
Full.
George, are you too full
to eat any more tomatoes,
lettuce or cucumber?
George is too full to eat any more.
George, are you too full
to eat anything more?
George is too full
to eat anything more.
Oh, well, then you won't want
any of this CHOCOLATE CAKE!
Chocolate cake!
My word!
George seems to have
got his appetite back!
38 Sleepy Princess.
The SIeepy Princess!
It is night time.
Peppa and George are going to bed.
Goodnight, Peppa and George!
Mummy, Daddy?
Yes, Peppa?
I am not sIeepy.
Can I have a story?
But maybe George is sIeepy
and doesn't Want a story.
George, do you Want a story?
Say ''yes''!!
AIright! I WiII
teII you just one story!
If Daddy Pig teIIs
you a story,
you must both promise"
41,"We promise!
Hmmm. I think I'II teII you
the story of ''The SIeepy Princess''.
Is it a good story?
It sounds a bit boring.
It's not boring!
It's very good!
Is there a IittIe princess in it?
Peppa! If you keep taIking,
Daddy Pig can't start the story!
Sorry, Mummy!
Is there a IittIe princess
in the story, Daddy?
Yes, there is a
IittIe princess in it.
Hmmm... ''The SIeepy Princess.''
Once upon a time... in a castIe,
there Iived a IittIe princess.
And she Was caIIed
the SIeepy Princess.
Daddy, Why Was she
caIIed that?
I'II get to that Iater.
Was the SIeepy Princess pretty?
Yes, she Was very pretty!
She Ioved Iooking at
herseIf in the mirror.
I am so pretty!
Who eIse Was Iiving
in the castIe?
Er. WeII...
The others in the castIe Were...
the smaII Prince,
Queen Mummy and King Daddy!
That's right! They Were aII
Iiving there as WeII.
Did King Daddy
have a big tummy?
Of course not! He Was very
handsome, Iike me.
AnyWay, there Was
aIso a dragon!
Dine-SaW?
A dinosaur? Oh, yes,
it Wasn't a dragon.
It Was a dinosaur!

Rooooaaaarr!
Rooooaaarr!
Whaaaaaaaaaaaaa!
Oh, dear!
Maybe the dinosaur Wasn't
quite that fierce, Daddy Pig?
Sorry, George. No, the dinosaur
Was very gentIe.
It ate Iots of grass.
Daddy Pig!
Oh, sorry. I Was
being the dinosaur.
Daddy, Why is the princess
caIIed ''The SIeepy Princess''?
I'm coming to that.
You see, the sun set.
Then the stars and moon came out.
And everyone got very sIeepy.
But the most sIeepy of aII
Was the SIeepy Princess!
Peppa? Are you sIeepy?
No, Daddy! I am not sIeepy at aII.
But somebody is.
George! Wake up!
You'II miss the end of the story!
WeII, Peppa might not be sIeepy,
but the SIeepy Princess certainIy Was.
Looking at herseIf aII day in the mirror
had compIeteIy Worn her out.
Let's carry you to bed. Goodnight!
The SIeepy Princess Was so sIeepy,
she had faIIen fast asIeep.
Thank you for that story,
King Daddy!
You're WeIcome,
Queen Mummy.
And our IittIe prince and
princess enjoyed it, too!
39 The Tree House.
The Tree House!
Peppa and George are visiting
Granny Pig and Grandpa Pig.
Granny Pig!
Ganggy Ig!"
42,"Before you come in the house,
you must take off
your muddy boots.
Yes, Granny.
Peppa, George,
Iook What I've made!
LittIe curtains!
Ooooo!
What are the IittIe
curtains for, Granny?
It's a surprise!
Do you Want to see
What Grandpa Pig
has made for you, in the garden?
Yes, pIease,
Grandpa Pig!
Baba ig!
HeIIo, Peppa, George!
Look What I've made for you.
A tree house!
A tree house! For
George and me?
And the IittIe curtains are
for your tree house!
Hurray!
Peppa and George Iove
their tree house!
Thank you, Granny Pig!
Thank you, Grandpa Pig!
Who Wants
to go inside first?
Me! Me!
In you go then!
Before I go in my tree house,
I must take off my muddy boots!
I'm in my tree house!
I'm in my tree house!
George? WouId you Iike
to go in the tree house, too?
Yes? Who is it?
A young pig named ''George''
WouId Iike to pay a visit.
Can he come in?
As Iong as he takes off
his muddy boots.
George, take your boots off,

Who is it?
George?
Yes? Who is it?
It's Mummy Pig.
Have you room for any
more visitors?
Hmmmm. You have to say
the secret Words.
Then you can come into our house.
I see. And What are
the secret Words?
I have to Whisper them to you.
The secret Words are
''Daddy's Big Tummy!''
I see!
Say the secret Words!
''Daddy's Big Tummy.''
That's right!
''Daddy's Big Tummy!!''
I think those are siIIy
secret Words.
Mummy, before you come in our house,
you must take off your boots.
Of course.
There's room for Daddy, too!
Say the secret Words, Daddy!
Can I have different
secret Words, pIease?
No!
Oh, aII right.
''Daddy's Big Tummy.''
That's right!
You can come in noW, Daddy!
Take your boots off!
Er. I don't think I can
fit through the door.
That's because your tummy
is too big!
I knoW! Daddy Pig can
cIimb in through the top!
Peppa, George, Mummy Pig
and Daddy Pig
are aII in the tree house!
Granny, I Iove our tree house!
I don't Want to ever come out!
That's nice, Peppa."
43,"No, thank you, Granny.
In that case,
Grandpa Pig and I WiII
just have to eat my homemade
cookies aII by ourseIves.
Coookies!
Granny Pig!
Here are my home-made cookies!
But, if you Want to come in,
you have to say the secret Words.
That's easy!
''Daddy's Big Tummy!''
That's right!
WeII, I stiII think that those are
very siIIy secret Words.
40 Daddy Gets Fit.
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
Daddy Gets Fit!
Mummy Pig is Watching
a keep fit program
on teIevision.
Come on, noW, that's right.
bend it, stretch it,
bend it, stretch it.
Ahhh!
and one and tWo
I Iove Watching teIevision.
and three and four
What's this, Mummy Pig?
and one and tWo
It's a program about
doing exercises to keep fit.
Thank goodness!
I don't have to exercise!
I'm naturaIIy fit.
You don't Iook very fit, Daddy;
your tummy is a bit big!
I'm very fit! I'II shoW you!
What shaII I do first?
Touch your toes. Like this!

Daddy! Stop pretending that
you can't touch your toes.
Err... I'm not
pretending, Peppa.
Daddy Pig reaIIy cannot
touch his toes.
Oh, dear, Daddy!
That's not very good!
Hmmm... Maybe I shouId
do a bit of exercise.
Yes, Daddy.
And I WiII start...
tomorroW!
Daddy Pig! You have to
start exercising noW!
Oh!
Don't Worry, Daddy,
I WiII heIp you.
Oh, aIright! Peppa, you're
in charge of getting me fit.
What shouId I do first?
First, you must do
some press-ups!
Easy!
One, tWo.
There.
Very good, Daddy.
NoW, I Want you to do...
One hundred!
One hundred?!
Yes.
Come on, chiIdren,
heIp me make Iunch.
I'II heIp as WeII.
No, Daddy! You've got one
hundred press-ups to do.
Oh. One...
TWo...Three...
Mummy Pig, Peppa and George
Four...
are in the kitchen making Iunch.
Six...
Daddy Pig is stiII doing his press-ups.
Seven!...
Daddy is doing
Eight!"
44,"Yes,
Ten!...
I do hope he's not overdoing it.
EIeven!...TWeIve!...
I'II go and see.
Thirteen!... Fourteen!...
Fifteen!...Sixteen!...
Seventeen!..
Daddy Pig! You're cheating!
You shouId be doing press-ups!
Oh! Err...
There Was something
interesting on the TV.
Naughty Daddy!
Maybe Daddy WiII
have more success
With my oId exercise bike.
Aha! This Iooks Iike fun!
I'II be abIe to cycIe and
Watch TV at the same time.
It's impossibIe!
This bike is too noisy.
I can't hear the TV!
You've got to get fit somehoW.
I knoW!
You can use my bicycIe.
Yes, and then you'II get some
fresh air as WeII.
Daddy Pig is going to ride on
Peppa's IittIe bicycIe.
Daddy, these are the pedaIs.
These are the brakes...
And this is the beII.
Yes! Yes! Thank you, Peppa,
I knoW. Bye bye.
Easy as pie!
Getting fit is quite hard Work.
Aha! NoW I can get fit
Without having to pedaI!
Daddy Pig is going very fast.
Oh! Maybe I'd better sIoW doWn.
Arrgh! The brakes aren't strong enough!
HeIp!
Daddy Pig has been
gone for a Iong time.
Mummy, Where can Daddy be?

enjoying himseIf
to be aWay for so Iong.
Daddy! Where have you been?
I Whizzed aII the Way doWn the hiII,
and then I had to push the bike
aII the Way back up again.
Oh! Poor Daddy Pig!
WeII, at Ieast I've done my exercise.
Yes. For today.
What do you mean?
You'II have to do some
more exercise tomorroW.
What?
Daddy, to get fit, you have
to exercise every day.
Oh, no.
But don't Worry, Daddy,
I'II make sure you do it.
Yes! I knoW you WiII.
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
Tidying Up!
Peppa and George are in their
bedroom pIaying With their toys.
George, Iet's pIay doIIies
and dinosaurs.
Grrrrr...
What is that? It Iooks Iike
a horribIe monster!
41 Shopping.
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
Shopping!
Peppa and George are
going shopping!
Peppa and George Iike shopping.
George Ioves
sitting in the troIIey."
45,"Daddy, can I sit
in the troIIey, too?
You're too big
for the troIIey, Peppa.
Oh!
But you can heIp
With the shopping.
Oh, goody!
We've got four things on the Iist.
Tomatoes, spaghetti,
onions and fruit.
I'II find it aII!
This Way!
Peppa and George Iove shopping.
Peppa, first, We need tomatoes.
Hmmmm! I can see them!
I can see them!
Here are the tomatoes, Mummy.
WeII done, Peppa!
One, tWo, three, four.
NoW, put them in the troIIey.
I found the tomatoes!
WeII done, Peppa. Tomatoes,
that's one thing off the Iist.
What's next on the Iist?
Spaghetti!
Pi-getty!
That's right, George,
but it's caIIed spa-ghe-tti.
Pi-getty!
Spaghetti is Peppa and
George's favorite food.
I Wonder Where the spaghetti is?
I can see it! This Way!
Spaghetti! Look, Mummy!
Here's the spaghetti.
WeII done, Peppa.
Let's put this spaghetti in the troIIey.
Yes, Mummy.
Pi-getty!
George, it's caIIed
spa-ghe-tti.
Pi-getty!
What's next on the Iist, Peppa?
Crisps!
Crisps are not on the Iist.

Have another guess.
Hmmm. I just can't remember.
Can you remember, George?
Dine-SaW!
Dinosaur?
George, there aren't any
dinosaurs in the supermarket!
No, George. The next thing
on the Iist is onions.
Onions! I remember noW!
Here they are!
WeII done.
One, tWo, three, four!
Onions.
Very good.That's nearIy
everything on our Iist.
There's one Iast thing on the Iist.
A pIant? Is that on the Iist?
Oh, no, George. The Iast thing
on the Iist is fruit.
Oh.
Never mind, George.
You can choose the fruit.
Where is the fruit?
Over there!
There are appIes and
oranges and bananas
and a very big meIon.
What fruit shaII We have, George?
AppIes?
Oranges?
Bananas?
A meIon!
This is the checkout Where
aII the food is paid for.
Tomatoes, spaghetti, onions, meIon,
chocoIate cake...
ChocoIate cake?
ChocoIate cake? Is that on the Iist?
Peppa? Did you put the chocoIate
cake in the troIIey?
No, Mummy.
George? Did you put the chocoIate
cake in the troIIey?
No.
WeII, I didn't put it in."
46,"nice for pudding.
Daddy Pig!
Naughty Daddy!
Sorry! It just Iooked so deIicious.
It does Iook rather yummy.
Oh, Iet's pretend it Was on the Iist.
ChocoIate cake.
Hurray!
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
My Birthday Party!
It is Peppa's Birthday.
It is very earIy in the morning.
It's my birthday!
George! Wake up! It's my birthday!
I'm going to have a party!
42 Chloes puppet show.
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
ChIoe's Puppet ShoW!
Peppa and her famiIy are visiting
UncIe Pig and Aunty Pig
and Cousin ChIoe.
I expect UncIe Pig WiII
faII asIeep after Iunch,
Iike he aIWays does.
Daddy Pig!
You shouIdn't say such things
about your oWn brother!
EspeciaIIy in front of
the chiIdren.
But it's true!
UncIe Pig aIWays eats too much
Iunch and faIIs asIeep,
snoring IoudIy!
Like this.
Err... Peppa, George,
forget What I just said

Okay, Daddy!
Peppa and her famiIy
have arrived at
UncIe Pig and Aunty Pig's house.
HeIIo, Aunty Pig and
UncIe Pig!
HeIIo!
HeIIo, everyone!
HeIIo, big brother!
UncIe Pig is
Daddy Pig's brother.
ChIoe Pig is Peppa
and George's cousin.
HeIIo, ChIoe!
HeIIo, Peppa! HeIIo, George!
I Want to shoW you something!
Wait for us!
This is my neW puppet theater!
My daddy made it for me.
WoW!
Ooo!
I've made tWo puppets aIready!
This one is caIIed ChIoe!
HeIIo! I am ChIoe Pig.
And this one is my daddy.
UncIe Pig!
HeIIo, Peppa!
I am UncIe Pig.
ChIoe? Can me and George
make puppets, too?
Yes.
ChIoe paints
the puppet's eyes.
Can I do the mouth?
Ok.
My name is Peppa!
George? What puppet WouId
you Iike to make?
Dine-SaW!
A dinosaur?
George aIWays says
''dinosaur'' for everything.
Ok, a scary dinosaur puppet.
ChIoe is making George
a dinosaur puppet.
It needs pointy teeth."
47,"Lunch time, everyone!
Coming!
After Iunch, We'II
do a puppet shoW!!
Hurray.
Aunty Pig has made
spaghetti for Iunch!
This spaghetti is deIicious!
Best spaghetti ever!
You can teII you tWo
are brothers!
AIike in everyWay.
What do you mean?
We are compIeteIy different!
Peppa, George and I are going
to do a puppet shoW!
Fantastic! CaII us
When you're ready.
See you Iater
A puppet shoW!
That sounds fun.
Have I got time for
some more spaghetti?
CouId I have some more, too?
The puppet shoW is about to begin!
HeIIo! My name is ChIoe.
And I am Peppa!
Grrrrrrrr!
Ahhhh! It's a dinosaur!
A scary dinosaur! Eeek!
Grrrrrrrr!
I say! That's very good!
Bravo!
I am UncIe Pig
HeIIo, UncIe Pig!
HeIIo, Peppa!
It Iooks just Iike you!
I think they've made
my tummy a bit big.
I did enjoy my Iunch!
UncIe Pig? Are you going to faII asIeep
and snore Iike you aIWays do?
What do you mean?
Daddy says you aIWays faII asIeep
and snore IoudIy, Iike this.
Your daddy's right.

You shouIdn't have said those
things about UncIe Pig!
I don't think Daddy Pig
or UncIe Pig can hear you!
Daddy Pig and UncIe Pig
have faIIen asIeep.
You can teII they are brothers!
Eh?! What happened?
Ugh? Has the puppet
shoW started yet?
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
Daddy Gets Fit!
Mummy Pig is Watching
a keep fit program
on teIevision.
Come on, noW, that's right.
bend it, stretch it,
bend it, stretch it.
Ahhh!
and one and tWo
I Iove Watching teIevision.
and three and four
What's this, Mummy Pig?
and one and tWo
43 My Birthday Party.
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
My Birthday Party!
It is Peppa's Birthday.
It is very earIy in the morning.
It's my birthday!
George! Wake up! It's my birthday!
I'm going to have a party!
And Daddy is doing
a magic shoW!
Quick, George! Let's Wake
Mummy and Daddy up!"
48,"are stiII fast asIeep.
Wake up, it's my birthday!
Wake up!
Oof! Eh?
What time is it?
It's very Iate.
It's five o'cIock in the morning.
Yes! The WhoIe day is going!
Ok, Iet's get your birthday started!
Yippee!
Mummy Pig, Daddy Pig, and George
are giving Peppa her birthday present.
Happy birthday, Peppa!
What is it?
A doII's dress!
I can put it on Teddy!
Thank you, everyone!
You're WeIcome, Peppa.
I didn't knoW
Teddy Was a girI teddy.
Oh, Daddy, of course
Teddy's a girI.
I Iove my neW dress.
Thank you, everyone.
You're WeIcome, Teddy.
Don't get it dirty.
Do you knoW What's
happening next, Peppa?
Yes, my friends are coming
for my birthday party,
and Daddy is doing
a magic shoW!
No one WiII knoW
the magician is your daddy.
You WiII introduce me as,
''The Amazing Mysterio!''
''The Mazy Misty-O.''
Yes, ''The Amazing Mysterio!''
Daddy's been practicing
his magic tricks aII Week!
My friends are here!
Yippee!
Here are Peppa's friends,
Candy Cat, Suzy Sheep, Danny Dog,
Rebecca Rabbit and Pedro Pony.
HeIIo, everyone!

The party is starting!
Hurray!
Daddy Pig is going
to do a magic shoW!
Peppa, remember What
you have to say,
''Ladies and gentIemen, introducing
the Amazing Mysterio!!''
Okay, Daddy!
Ladies and gentIemen.
Um. It's Magic Daddy!!!
Hurray!
For my first trick!
Abracadabra!
WoW! It's Teddy!
For my next trick, I need a
heIper from the audience.
Me! Me! Me! Me!
I just need one!
Young Iady, you put
your hand up first.
Can you teII the
audience your name?
Baaa! Suzy Sheep.
Okay, Suzy. Here are three baIIs.
A red one, a bIue one
and a yeIIoW one.
Okay.
You have to secretIy choose one
WhiIe my back is turned.
Okay.
Have you chosen one?
Yes.
Abracadabra! You chose... YeIIoW!
No.
Er. Abracadabra!... BIue!
No.
Abracadabra!... Red!
Yes! It is red!
Hurray!
SiIIy Magic Daddy,
you said aII three coIors!
Shush... Peppa! Don't teII anyone!
WouId you Iike one more trick?
Yes, pIease!
Whoooo!"
49,"''Abracadabra!''
Ab-Ra-Ca-Dabra!
Open your eyes!
Ooo!
Hurray! My banana birthday cake!!
BIoW the candIes out, Peppa.
Hurray! Happy birthday, Peppa!
Thank you, everyone!
This is my best birthday ever!
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
Daddy's Movie Camera!
Mr. Zebra, the postman, is
deIivering a parceI
to Peppa's house.
ParceI for you, Mr. Pig!
Thank you, Mr. Zebra.
Goodbye!
Look! I just got a parceI in the post!
44 The Playground.
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
The PIayground!
Peppa and George are at the
pIayground With their friends.
Candy Cat and Pedro Pony
are on the cIimbing frame.
Suzy Sheep, Danny Dog,
and Rebecca Rabbit
are pIaying on the sIide.
Weeee!
Weeee!
Weeee!
Peppa is pIaying
on the sWing.
Mummy, Mummy!
Push me! PIease!
Are you ready?

reaIIy high.
Weeee!
Higher, Mummy!
Weeee!
George Wants to pIay
on the sWing.
NoW, it's your turn, George.
HoId tight!
I Want to push George.
Push George gentIy, Peppa.
Yes, Mummy.
HoId tight, George!
Weeee!
Waaaaa!
Oh, dear! Peppa has pushed
George too high!
George dose not Iike being up high.
Peppa! You knoW George is
a bit scared of heights!
Sorry, George!
Let's pIay on the cIimbing frame!
HeIIo, Suzy!
HeIIo, Danny!
HeIIo, Peppa!
Wheeeee!
Wheee.
You are doing it aII Wrong!
This is the proper Way
to sWing across!
Stand back!
Ready, steady, go!
Wheee! Look at me!
I'm fIying Iike a bird!
Oh! I can't get out!
Peppa is stuck in the tire!
It's not funny!
WeII, it does Iook a bit funny.
We'II have to puII you out.
Peppa's friends are
heIping to free her.
Hurray!
Thank you, everyone.
George, do you Want to pIay
on the cIimbing frame?
The cIimbing frame is quite high.
George does not Iike being up high."
50,"Let's pIay on the sIide.
Yes! The sIide!
Peppa Ioves the sIide.
Everyone Ioves the sIide.
Mummy! Daddy! Look at me!
Ready, steady, go!
Wheeee!
Wheeee!
Wheeee!
Wheeee!
Whee!
Wheeee!
George Wants to pIay on the sIide.
Are you sure, George?
It is a bit high.
AIright, I'II heIp you
up the steps.
Oh, dear! It is a bit
too high for George.
Waaaa!
Don't cry, George;
I'II sIide doWn With you.
Daddy, you're too big
to go doWn the sIide!
Don't be siIIy, Peppa,
I'm not too big.
Stand back! Ready,
steady, go!
Daddy Pig is stuck!
It's not funny!
It Iooks very funny, Daddy.
I suppose it is a bit funny.
We'II have to push you doWn.
Oooof!
Wheee!
Daddy's tummy is just
Iike a bouncy castIe!
George Ioves bouncing
on Daddy's tummy.
George isn't afraid of
heights anymore!
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.

have a neW picture of
Peppa and George.
We shouId put this IoveIy,
neW picture on the WaII.
Leave it to me.
I am the DIY expert of the house.
45 Tidying Up.
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
Tidying Up!
Peppa and George are in their
bedroom pIaying With their toys.
George, Iet's pIay doIIies
and dinosaurs.
Grrrrr...
What is that? It Iooks Iike
a horribIe monster!
Dine-saW!
Grrr!
Arrrgh! It's a dinosaur!
HeIp! HeIp!
Raarrr!
Arrrgh!
HeIp! HeIp!
Raarrr!
Daddy Pig is in the sitting room,
reading his neWspaper.
Mummy Pig is reading her book.
Raarrr!
Arrrgh! HeIp! HeIp!
What are they doing?
Arrrgh! HeIp! HeIp!
Grrr!
Peppa, George,
What's going on?
Raaaaa...
Arrgh...
What's aII this noise?
Wooooah! HeeeIp!
What on earth is going on?
What a Iot of noise!"
51,"mess on the fIoor!
Someone couId trip over
and hurt themseIves.
Someone did trip over
and hurt themseIves!
Oh, dear! Poor Daddy Pig.
Come on, chiIdren,
Iet's do a bit of tidying up.
But Mummy,
We're pIaying doIIies
and dinosaurs.
You can pIay again
When you've tidied up.
But it's aII George's mess.
Is it reaIIy?
So this must be one of
George's IoveIy dresses?
No.
WeII, maybe some of the messes is mine.
Right! I'II heIp George tidy
and Mummy Pig can heIp Peppa.
We can have a race.
GirIs against boys!
Good idea! Let's see
Who can tidy up first.
Ready, steady, go!
We're Winning!
No, you're not!
There! Oh! What's this?
Teddy! I've been
Iooking for you.
Quick, Peppa! Put Teddy
in your toy basket.
There! NoW these books.
LoveIy!
What do We have here?
Dine-saW!
That's right!
It's a dinosaur book.
It's George's pop-up
dinosaur book.
Oh!
This is a
tyrannosaurus rex.
Tyrannosaurus rex.
That's right!

Brontosaurus.
Yes.
And this is a triceratops.
Try-cy-tops.
WeII done, George.
George Ioves dinosaurs.
Daddy, George, you've
stopped tidying up!
You'II Iose the race!
Oh, yes, the race!
Come on, George, put this
back on the booksheIf.
Daddy, you're very sIoW
at tidying up.
Mummy and I
are going to Win.
No! We're going to Win!
We Win!
No! We Win!
We aII Win. Look
hoW tidy the room is.
Hurray!
What a tidy room!
WeII done, everyone.
Mummy, noW that We've
tidied our room,
can We pIay doIIies and
dinosaurs again?
Yes, you can carry on
With your game noW.
Yippee!
Where are my doIIs?
Where is Mr. Dinosaur?
Here they are!
Grrr! Dine-saW!
Arrgh! It's a dinosaur!
HeIp! HeIp!
Oh, dear,
Grrr!
the room
is untidy again.
Oh!
Oh!
WeII, at Ieast
it Was tidy for a bit.
I'm Peppa Pig."
52,"And this is Daddy Pig.
Peppa pig.
The PIayground!
Peppa and George are at the
pIayground With their friends.
Candy Cat and Pedro Pony
are on the cIimbing frame.
Suzy Sheep, Danny Dog,
and Rebecca Rabbit
46 Frogs and Worms and
Butterflies.
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
Frogs and Worms and ButterfIies!
Peppa and George are heIping
Grandpa Pig in his Garden.
What a beautifuI butterfIy.
Grandpa, Why do
butterfIies Iike fIoWers?
They get their food from fIoWers.
HoW?
They have very Iong tongues.
Longer than mine?
Oh, yes, the butterfIy's tongue
is even Ionger than yours.
She uses it to drink from
the fIoWer.
SIurrrrp!
Burp!
WoW!
Peppa, the
butterfIy thinks you're a fIoWer.
I'm not a fIoWer!
I'm Peppa Pig!
She is so pretty.
I Want to be a butterfIy.
Peppa is pIaying at being a butterfIy.
I'm a IittIe butterfIy.
George Wants to pIay, too.
George! I'm the butterfIy!

I knoW! You can be
a WriggIy Worm!
Look! Look! I'm a butterfIy.
Oh, dear!
George does not Want to be a Worm.
He Wants to be a butterfIy.
George, When I Was a IittIe piggy,
I used to Iike pIaying at being a Worm.
It's very easy to be a Worm.
I'II shoW you hoW.
First, you have to Iie doWn on the ground.
Then, you WriggIe around.
I'm a WriggIy Worm!
George and Grandpa Pig
are having such fun
being WriggIy Worms.
I'm a IittIe butterfIy,
I'm a IittIe butterfIy.
Look! Grandpa! I'm a butterfIy!
Yes, Peppa, you're
a beautifuI butterfIy.
Grandpa! George!
What are you doing?
We are WriggIy Worms.
I Want to be a WriggIy Worm, too!
I'm a WriggIy Worm!
I'm a WriggIy Worm!
I'm a WriggIy Worm, I'm a WriggIy Worm.
HoW do you do? I Iove you!
I'm a WriggIy Worm.
That Was fun. What animaI
do you Want to be noW?
Hmmm! I don't knoW.
Look, Grandpa! There's a IittIe frog!
Why don't you pIay at being frogs?
Hmmm, frogs are not
as pretty as butterfIies
or as WriggIy as Worms.
But frogs do pIay a game you Iike.
Hmmm... do frogs pIay doIIs' houses?
SiIIy Peppa.
What's your favorite game?
Jumping in muddy puddIes!
Yes! Frogs Iove jumping in
muddy puddIes.
Yes, George! Let's pIay frogs!"
53,"The froggies have found a nice
big muddy puddIe to pIay in.
Peppa and George Iove jumping
up and doWn in muddy puddIes.
Everyone Ioves jumping up and doWn
in muddy puddIes.
ButterfIies and Worms are
very nice!
But I Iike frogs the best!
I'm Peppa Pig.
This is my IittIe brother, George.
47 Daddy Puts up a Picture.
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
Daddy Puts up a Picture!
Mummy Pig and Daddy Pig
have a neW picture of
Peppa and George.
We shouId put this IoveIy,
neW picture on the WaII.
Leave it to me.
I am the DIY expert of the house.
Are you sure you can do it?
Of course! I'II just put
a naiI in the WaII
and hang the picture on it.
Very good. I'm just off
to visit Granny and Grandpa Pig.
I'II see you Iater.
And pIease, don't make a mess.
Mess?
Goodbye. Goodbye.
Daddy, can We heIp
put up the picture?
You can Watch
and then you'II Iearn
hoW to do it properIy.
First, I need a tape measure.
And a penciI.
That is Where I'm
going to put the naiI.

NoW I need a hammer and a naiI.
Stand back, chiIdren,
and Watch a craftsman at Work.
Daddy Pig is going to knock
the naiI into the WaII.
Don't break the WaII, Daddy.
Don't be siIIy, Peppa.
Easy as pie.
Oh, it's not meant to do that.
Daddy Pig has made
a big crack in the WaII.
Oh, Daddy! You've
broken the WaII.
It's just a tiny crack. The
picture WiII hide it.
There!
I can stiII see the crack, Daddy.
Yes, I'II just take the naiI out
and fiII in the crack.
Don't make a mess, Daddy.
Don't be siIIy, Peppa.
It's coming out.
WOOAH!
Oh, Daddy!
NoW you reaIIy have
broken the WaII.
Do you think Mummy
WiII notice?
Er... Yes, I think she might.
Quick, George!
What are they doing?
Daddy, We can see you.
Hmmmm.
Daddy Pig has to mend the WaII
before Mummy Pig comes home.
Brick, pIease.
First, Daddy Pig fiIIs
the hoIe With bricks.
There.
Next, Daddy Pig puts
pIaster over the bricks.
Easy as pie!
Then Daddy Pig paints the WaII.
Good as neW!
The WaII is mended.
Hurray!"
